Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:06     all   45.43    0.00   15.27    1.70    0.00    4.98    6.18    0.00    0.00   26.44
17:04:06       0   38.00    0.00   22.00    1.00    0.00   13.00    5.00    0.00    0.00   21.00
17:04:06       1   24.00    0.00   23.00    5.00    0.00    6.00    8.00    0.00    0.00   34.00
17:04:06       2   57.14    0.00   14.29    0.00    0.00    3.06    4.08    0.00    0.00   21.43
17:04:06       3   39.39    0.00   16.16    4.04    0.00    5.05    7.07    0.00    0.00   28.28
17:04:06       4   54.08    0.00    6.12    1.02    0.00   12.24    5.10    0.00    0.00   21.43
17:04:06       5   48.45    0.00   15.46    0.00    0.00    7.22    5.15    0.00    0.00   23.71
17:04:06       6   57.58    0.00    9.09    0.00    0.00   12.12    6.06    0.00    0.00   15.15
17:04:06       7   43.16    0.00   13.68    0.00    0.00    7.37    7.37    0.00    0.00   28.42
17:04:06       8   59.18    0.00   12.24    0.00    0.00    2.04    4.08    0.00    0.00   22.45
17:04:06       9   43.56    0.00   21.78    0.00    0.00    0.99    6.93    0.00    0.00   26.73
17:04:06      10   56.31    0.00   11.65    0.97    0.00    0.97    4.85    0.00    0.00   25.24
17:04:06      11   43.16    0.00   14.74    0.00    0.00    2.11    6.32    0.00    0.00   33.68
17:04:06      12   44.33    0.00   14.43    0.00    0.00    3.09    7.22    0.00    0.00   30.93
17:04:06      13   39.62    0.00   15.09    0.94    0.00    2.83    8.49    0.00    0.00   33.02
17:04:06      14   32.32    0.00   16.16   14.14    0.00    1.01    6.06    0.00    0.00   30.30
17:04:06      15   47.00    0.00   18.00    0.00    0.00    1.00    7.00    0.00    0.00   27.00

17:04:06     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:07     all   45.52    0.00   16.80    1.42    0.00    5.31    7.72    0.00    0.00   23.22
17:04:07       0   30.77    0.00   24.04    0.00    0.00    7.69    9.62    0.00    0.00   27.88
17:04:07       1   53.47    0.00    9.90    0.00    0.00    5.94    6.93    0.00    0.00   23.76
17:04:07       2   40.95    0.00   20.00    0.00    0.00    6.67    8.57    0.00    0.00   23.81
17:04:07       3   33.65    0.00   18.27    6.73    0.00   11.54    7.69    0.00    0.00   22.12
17:04:07       4   45.10    0.00   17.65    0.00    0.00    5.88    7.84    0.00    0.00   23.53
17:04:07       5   56.31    0.00   10.68    0.00    0.00    8.74    5.83    0.00    0.00   18.45
17:04:07       6   60.61    0.00   12.12    0.00    0.00   10.10    5.05    0.00    0.00   12.12
17:04:07       7   39.42    0.00   19.23    0.00    0.00    7.69    9.62    0.00    0.00   24.04
17:04:07       8   51.49    0.00    8.91    2.97    0.00    3.96    6.93    0.00    0.00   25.74
17:04:07       9   47.52    0.00   14.85    1.98    0.00    2.97    9.90    0.00    0.00   22.77
17:04:07      10   43.14    0.00   18.63    2.94    0.00    1.96    9.80    0.00    0.00   23.53
17:04:07      11   51.02    0.00   14.29    1.02    0.00    3.06    6.12    0.00    0.00   24.49
17:04:07      12   47.47    0.00   22.22    0.00    0.00    2.02    8.08    0.00    0.00   20.20
17:04:07      13   30.00    0.00   23.00    2.00    0.00    2.00   10.00    0.00    0.00   33.00
17:04:07      14   48.00    0.00   14.00    5.00    0.00    2.00    5.00    0.00    0.00   26.00
17:04:07      15   51.04    0.00   20.83    0.00    0.00    2.08    6.25    0.00    0.00   19.79

17:04:07     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:08     all   46.86    0.00   17.03    1.43    0.00    5.90    7.40    0.00    0.00   21.38
17:04:08       0   30.69    0.00   18.81    9.90    0.00   10.89    8.91    0.00    0.00   20.79
17:04:08       1   45.10    0.00   22.55    0.00    0.00    8.82    5.88    0.00    0.00   17.65
17:04:08       2   42.72    0.00   23.30    0.00    0.00    7.77    9.71    0.00    0.00   16.50
17:04:08       3   41.58    0.00    9.90    0.00    0.00   12.87    6.93    0.00    0.00   28.71
17:04:08       4   44.55    0.00   13.86    0.99    0.00    5.94    6.93    0.00    0.00   27.72
17:04:08       5   43.00    0.00   17.00    0.00    0.00   13.00   10.00    0.00    0.00   17.00
17:04:08       6   45.19    0.00   16.35    1.92    0.00    8.65    5.77    0.00    0.00   22.12
17:04:08       7   45.63    0.00   23.30    0.00    0.00    4.85    7.77    0.00    0.00   18.45
17:04:08       8   70.10    0.00    9.28    0.00    0.00    5.15    3.09    0.00    0.00   12.37
17:04:08       9   45.92    0.00   16.33    2.04    0.00    3.06    9.18    0.00    0.00   23.47
17:04:08      10   52.94    0.00   17.65    0.00    0.00    0.98    5.88    0.00    0.00   22.55
17:04:08      11   46.00    0.00   19.00    0.00    0.00    2.00    8.00    0.00    0.00   25.00
17:04:08      12   47.00    0.00   20.00    0.00    0.00    1.00    8.00    0.00    0.00   24.00
17:04:08      13   36.00    0.00   16.00    5.00    0.00    3.00   10.00    0.00    0.00   30.00
17:04:08      14   47.52    0.00   18.81    2.97    0.00    4.95    6.93    0.00    0.00   18.81
17:04:08      15   67.71    0.00    9.38    0.00    0.00    1.04    5.21    0.00    0.00   16.67

17:04:08     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:09     all   46.44    0.00   15.38    1.61    0.00    5.21    6.76    0.00    0.00   24.61
17:04:09       0   30.10    0.00   16.50    4.85    0.00   14.56    6.80    0.00    0.00   27.18
17:04:09       1   47.47    0.00   17.17    1.01    0.00    5.05    7.07    0.00    0.00   22.22
